City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
227,Lompoc,US,34.6391,-120.4579,57.02,88,100,15.99,overcast clouds
228,Santa Lucia,ES,27.9117,-15.5407,54.72,59,75,14.97,broken clouds
229,Bakel,SN,14.905,-12.4568,79.5,17,15,9.17,few clouds
230,Bandarbeyla,SO,9.4942,50.8122,77.85,69,5,7.67,clear sky
231,Mhlume,SZ,-26.0333,31.85,64.24,93,76,1.88,broken clouds
232,Port Hedland,AU,-20.3167,118.5667,100.45,32,43,5.75,scattered clouds
233,Vila,PT,42.0304,-8.1588,50.88,72,99,3.85,overcast clouds
234,Palauig,PH,15.435,119.9045,86.25,69,73,8.12,broken clouds
235,Berezovka,BY,53.7214,25.4993,31.03,73,1,3.27,clear sky
236,Chaman,PK,30.9236,66.4512,62.11,21,0,2.1,clear sky
237,Griffith,US,41.5284,-87.4237,40.24,95,100,3.44,mist
238,Berlevag,NO,70.8578,29.0864,34.61,70,98,31.27,overcast clouds
239,Fairbanks,US,64.8378,-147.7164,21.6,62,75,5.75,broken clouds
240,Vila Velha,BR,-20.3297,-40.2925,76.95,92,0,3.44,clear sky
241,Port Hardy,CA,50.6996,-127.4199,41.0,93,75,2.3,light intensity shower rain
242,Isangel,VU,-19.55,169.2667,87.91,74,100,5.75,overcast clouds
243,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,69,73,6.17,broken clouds
244,Maringa,BR,-23.4253,-51.9386,75.07,88,20,2.3,few clouds
245,Hibbing,US,47.4272,-92.9377,29.8,59,0,3.44,clear sky
246,Noumea,NC,-22.2763,166.4572,86.0,99,100,11.86,overcast clouds
247,Bud,US,39.447,-86.1758,43.41,94,100,10.25,light rain
248,East Foothills,US,37.3811,-121.8175,53.42,84,100,14.97,overcast clouds
249,Wuan,CN,31.6836,112.0044,35.29,99,100,10.29,snow
250,Vostok,RU,46.4856,135.8833,23.41,71,100,7.65,overcast clouds
251,Pindushi,RU,62.9152,34.58,34.41,90,7,9.24,clear sky
252,High Level,CA,58.5169,-117.136,37.51,60,20,5.75,few clouds
253,Kundiawa,PG,-6.0167,144.9667,75.87,71,71,1.81,broken clouds
254,Ushtobe,KZ,45.2514,77.9838,34.72,55,100,2.21,overcast clouds
255,Great Yarmouth,GB,52.6083,1.7305,44.02,81,0,16.33,clear sky
256,Ketchikan,US,55.3422,-131.6461,35.58,100,100,4.61,moderate rain
257,Uyskoye,RU,54.3775,60.0047,13.68,93,62,3.47,broken clouds
258,Chato,TZ,-2.6378,31.7669,64.78,90,99,5.37,overcast clouds
259,Ostrovnoy,RU,68.0531,39.5131,31.96,83,77,32.39,broken clouds
260,Adre,TD,13.4667,22.2,65.35,10,4,10.56,clear sky
261,Khromtau,KZ,50.2503,58.4347,3.52,83,2,8.41,clear sky
262,Strezhevoy,RU,60.7333,77.5889,26.64,93,100,14.81,overcast clouds
263,Opportunity,US,47.6499,-117.2399,46.09,58,20,9.22,few clouds
